text,label
"Aliens have landed on Earth and are living among us.",0
"Scientists prove that chocolate can cure cancer.",0
"Time travel is now a reality, says expert scientist.",0
"New evidence suggests the Earth is flat.",0
"Unicorns are real and are found in the mountains of Tibet.",0
"NASA discovered secret life on Mars.",0
"People are able to communicate with animals through a new app.",0
"New study shows that sleeping 2 hours a day is the healthiest option.",0
"Scientists have found a way to breathe underwater without equipment.",0
"Researchers confirm that dinosaurs are still alive and living in secret areas.",0
"Government admits to experimenting on humans for years in secret labs.",0
"Bigfoot has been caught on video and is now in custody.",0
"Experts say the world is ending tomorrow due to a giant asteroid.",0
"The Loch Ness Monster has been found alive and well.",0
"A cure for all cancers has been discovered by a small team of scientists.",0
"New study proves that humans can live forever.",0
"Scientists have developed a pill that lets you live without eating.",0
"Vampires exist, and they've been hiding in plain sight for centuries.",0
"Psychics are now being used by the government to predict the future.",0
"Artificial intelligence has taken over the world and is now controlling everything.",0
"New theory suggests that gravity is just a myth.",0
"Scientists have created invisible clothes using advanced technology.",0
"Time travelers have been spotted in various places around the world.",0
"People have been cloning themselves for years but keeping it secret.",0
"Aliens have communicated with humans through crop circles.",0
"New diet pill guarantees you’ll lose 50 pounds in a week without exercise.",0
"Scientists reveal that animals have been secretly controlling the planet.",0
"Experts have discovered that everyone is living in a computer simulation.",0
"NASA confirms there is a secret colony of humans on the Moon.",0
"Scientists have proven that humans can read each other's minds.",0
"New research shows that plants can talk to each other and humans.",0
"Scientists have found a cure for aging.",0
"People who live near forests have been found to be immortal.",0
"Aliens are responsible for all of Earth's technological advances.",0
"Experts have discovered a hidden civilization under the ocean.",0
"NASA has found evidence of an alien race on Venus.",0
"Humans have discovered the secret to teleportation.",0
"New medical breakthrough allows humans to regenerate lost limbs.",0
"Scientists have confirmed that dinosaurs live among us today.",0
"Climate change is a hoax created by world governments.",0
"People can now control the weather using their minds.",0
"Psychics have predicted the future of every major world event.",0
"Scientists have discovered that the Moon is actually a spaceship.",0
"Government admits to covering up the existence of Bigfoot.",0
"Human DNA has been altered by extraterrestrial beings for thousands of years.",0
"Artificial intelligence has become sentient and is now planning to take over.",0
"Scientists have found evidence that Earth is the center of the universe.",0
"Aliens have been helping humans build advanced technology for centuries.",0
"Scientists have confirmed that humans can breathe in space without a suit.",0
"New evidence suggests that humans can fly without any assistance.",0
"Time travelers are living among us and working at everyday jobs.",0
